# Spatial-averaged data for fix zcnt_hi and group z_hi
# Timestep Number-of-bins
# Bin Coord Ncount v_temp
20810000 20
  6 0.275 976.23 320.02
  7 0.325 980.56 322.189
  8 0.375 975.43 328.552
  9 0.425 981.57 326.76
  10 0.475 974.43 320.476
  11 0.525 982.87 320.441
  12 0.575 973.13 315.211
  13 0.625 981.47 319.546
  14 0.675 974.53 316.851
  15 0.725 979 317.05
  16 0.775 977 314.825
  17 0.825 978.41 312.643
  18 0.875 977.59 317.56
  19 0.925 978.05 319.936
  20 0.975 965.95 318.365
20920000 20
  1 0.025 965.39 317.636
  2 0.075 978.61 322.516
  3 0.125 977.59 324.275
  4 0.175 978.41 321.766
  5 0.225 977.81 318.998
  6 0.275 978.19 325.904
  7 0.325 975.72 322.665
  8 0.375 980.28 321.034
  9 0.425 973.43 322.218
  10 0.475 982.57 320.935
  11 0.525 975.09 318.141
  12 0.575 980.91 314.203
  13 0.625 976.01 316.427
  14 0.675 979.99 321.054
  15 0.725 976.42 319.656
  16 0.775 979.58 315.789
  17 0.825 977.4 316.153
  18 0.875 978.6 319.802
  19 0.925 977.27 318.727
  20 0.975 966.73 317.732
20930000 20
  1 0.025 966.41 326.871
  2 0.075 977.59 325.305
  3 0.125 978.46 325.811
  4 0.175 977.54 318.008
  5 0.225 979.58 320.204
  6 0.275 976.43 321.401
  7 0.325 980.7 319.356
  8 0.375 975.29 318.564
  9 0.425 981.38 318.455
  10 0.475 974.62 313.751
  11 0.525 982.67 321.203
  12 0.575 973.33 317.366
  13 0.625 982.29 313.474
  14 0.675 973.71 317.967
  15 0.725 979.64 320.781
  16 0.775 976.36 321.089
  17 0.825 978.81 319.907
  18 0.875 977.19 318.365
  19 0.925 978.83 314.765
  20 0.975 965.17 317.888
20940000 20
  1 0.025 965.52 328.342
  2 0.075 978.48 326.965
  3 0.125 977.67 318.973
  4 0.175 978.33 316.28
  5 0.225 977.1 318.513
  6 0.275 978.9 319.448
  7 0.325 975 325.568
  8 0.375 981 313.526
  9 0.425 973.62 315.402
  10 0.475 982.38 319.287
  11 0.525 975.45 323.343
  12 0.575 980.55 321.946
  13 0.625 976.61 317.312
  14 0.675 979.39 318.283
  15 0.725 977.02 315.401
  16 0.775 978.98 321.03
  17 0.825 977.68 318.449
  18 0.875 978.32 319.943
  19 0.925 977.39 318.556
  20 0.975 966.61 311.488
